,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
1,Decision_Tree,repeatedkfold,0.9213483146067416,0.79967290886392,0.04047306218167406,None,df_train_final
2,Random_Forest,repeatedkfold,0.9213483146067416,0.8232459425717852,0.040287642071190045,None,df_train_final
3,AdaBoost_Classifier,repeatedkfold,0.9101123595505618,0.8131373283395754,0.036525066481569064,None,df_train_final
4,SVC_Classifier,repeatedkfold,0.797752808988764,0.6866554307116107,0.049258680776390805,None,df_train_final
5,SGD_Classifier,repeatedkfold,0.898876404494382,0.7333208489388267,0.08241846748779363,None,df_train_final
6,Ridge_Classification,repeatedkfold,0.9213483146067416,0.8269525593008737,0.03926549039955353,None,df_train_final
7,Logistic_Regression,repeatedkfold,0.9101123595505618,0.8257078651685391,0.03825083069351161,None,df_train_final
8,LinearSVC,repeatedkfold,0.8876404494382022,0.7848951310861422,0.07102894959099776,None,df_train_final
9,GradientBoosting_Classification,repeatedkfold,0.9213483146067416,0.8291810237203495,0.041747287403552984,None,df_train_final
10,XGBoost_Classification,repeatedkfold,0.9325842696629213,0.819438202247191,0.039982608075913924,None,df_train_final
11,LightGBM_Classification,repeatedkfold,0.9101123595505618,0.8211298377028713,0.040868764724265774,None,df_train_final
0,KNeighbors_Regression,stratifiedkfold,0.7752808988764045,0.7261423220973782,0.04475766691924074,None,df_train_final
1,Decision_Tree,stratifiedkfold,0.8539325842696629,0.8024469413233458,0.036753311070965036,None,df_train_final
2,Random_Forest,stratifiedkfold,0.8555555555555555,0.8136454431960048,0.03543492781210483,None,df_train_final
3,AdaBoost_Classifier,stratifiedkfold,0.8426966292134831,0.8058302122347065,0.019540693765700827,None,df_train_final
4,SVC_Classifier,stratifiedkfold,0.7303370786516854,0.68354556803995,0.041589968545250725,None,df_train_final
5,SGD_Classifier,stratifiedkfold,0.8089887640449438,0.6745318352059925,0.06622862443670104,None,df_train_final
6,Ridge_Classification,stratifiedkfold,0.8651685393258427,0.8304993757802747,0.025995018713398065,None,df_train_final
7,Logistic_Regression,stratifiedkfold,0.8651685393258427,0.8226716604244695,0.024502970696418495,None,df_train_final
8,LinearSVC,stratifiedkfold,0.8314606741573034,0.7653932584269663,0.09547891232703767,None,df_train_final
9,GradientBoosting_Classification,stratifiedkfold,0.8555555555555555,0.8271285892634206,0.025894455034895725,None,df_train_final
10,XGBoost_Classification,stratifiedkfold,0.8651685393258427,0.8271785268414481,0.030113128169518555,None,df_train_final
11,LightGBM_Classification,stratifiedkfold,0.8651685393258427,0.8249063670411985,0.0272051685680972,None,df_train_final
0,KNeighbors_Regression,shufflesplit,0.7488789237668162,0.7165919282511211,0.020431902690393768,None,df_train_final
1,Decision_Tree,shufflesplit,0.8071748878923767,0.77847533632287,0.020763833009489172,None,df_train_final
2,Random_Forest,shufflesplit,0.8430493273542601,0.8143497757847534,0.01861931793006878,None,df_train_final
3,AdaBoost_Classifier,shufflesplit,0.8430493273542601,0.8040358744394618,0.022155370990198424,None,df_train_final
4,SVC_Classifier,shufflesplit,0.7174887892376681,0.6681614349775785,0.02720314060646296,None,df_train_final
5,SGD_Classifier,shufflesplit,0.8430493273542601,0.7017937219730941,0.09833314900074554,None,df_train_final
6,Ridge_Classification,shufflesplit,0.8654708520179372,0.820627802690583,0.018597705249621257,None,df_train_final
7,Logistic_Regression,shufflesplit,0.8609865470852018,0.8237668161434979,0.018818058527674705,None,df_train_final
8,LinearSVC,shufflesplit,0.820627802690583,0.7582959641255606,0.0571973050223862,None,df_train_final
9,GradientBoosting_Classification,shufflesplit,0.8654708520179372,0.8174887892376681,0.02906507699210546,None,df_train_final
10,XGBoost_Classification,shufflesplit,0.8609865470852018,0.8121076233183857,0.026105434220319086,None,df_train_final
